@relation FAQ
@attribute id string
@attribute text string
@attribute domain numeric
@data
"ENG_AGRICULTURE_232"," WL HSTR AKRK MTRL AFLB PRFT SKTR IF PRFT ENTT MTRL PRPR EKSK H KPNK RKRT ",1
"ENG_CAREER_1"," WT KRR KNSL ",2
"ENG_CAREER_2"," WT TP SRFS OFRT KRR KNSL ",2
"ENG_CAREER_3"," WT I EKSP KRR KNSL ",2
"ENG_CAREER_4"," H KRR KNSL LST ",2
"ENG_CAREER_5"," M SKTL BS I AKSS KRR KNSL SRFS ",2
"ENG_CAREER_6"," H KRR KNSL KST ",2
"ENG_CAREER_7"," T FR KNSL PRFT KRR KNSL  ",2
"ENG_CAREER_8","  I MT KRR KNSL ",2
"ENG_CAREER_9"," WL KRR KNSL KRR JB ",2
"ENG_CAREER_10"," WT I PRPR APNT KRR KNSL  ",2
"ENG_CAREER_11"," WL KRR KNSL HLP AKTM KSXN ",2
"ENG_CAREER_12","  KLT KRR KNSL WL I TLK FLNK ",2
"ENG_CAREER_13"," WT KNTS JBS UNFR KRTT  ",2
"ENG_CAREER_14"," WT I KN ATMS SPSF KRTT PRFS PRKR ",2
"ENG_CAREER_15"," AR KN ATMS BXLR ETKX BT PRKR ",2
"ENG_CAREER_16"," IM FNXN BT TKR KRR OPXN KLSR TXR ",2
"ENG_CAREER_17"," T KRR KNSL PRFT AKTM ATFS ",2
"ENG_CAREER_18"," WT I PRPR OFRS ",2
"ENG_CAREER_19"," H TNK FLNT WRK ",2
"ENG_CAREER_20"," KN I APTT KRR TSTS KNSL SRFS ",2
"ENG_CAREER_21"," AR PRSN TP INTK TSTS AKKR ",2
"ENG_CAREER_22"," WT PLSM SRFS ",2
"ENG_CAREER_23"," WT RL STTN TRNS KRTN ",2
"ENG_CAREER_24"," WT TPKL STRT SLR UNFR KRTT ",2
"ENG_CAREER_25"," T UNFR KRTT JBS FRSS KLJ KRTT ",2
"ENG_CAREER_26"," WT KRR KNSL ",2
"ENG_CAREER_27"," H KRR KNSL HLP M ",2
"ENG_CAREER_28"," AR SPXL XLNJ PRSN ENTR KRTF FLT ",2
"ENG_CAREER_29"," IF KRR ASSM ON  I KRR KNSL ",2
